"","who_retweet","who_post"
"1","marifested","10avendano"
"2","Stevo_Atkinson","121Visas"
"3","Stevo_Atkinson","121Visas"
"4","Stevo_Atkinson","121Visas"
"5","sam4wong","19pst"
"6","CoffyBrownChi","1Ronzee"
"7","PierreLaing","1stContact"
"8","mila350","1stContact"
"9","Futuropolis","20minutesCult"
"10","_khunfused","2PMFAH"
"11","whiekhun","2PMFAH"
"12","buckyeahKhun","2PMFAH"
"13","myboytaec","2PMFAH"
"14","besidewooyoung","2PMFAH"
"15","elle_jwy","2PMFAH"
"16","2PMints","2PMFAH"
"17","woolipop","2PMFAH"
"18","taeccats","2PMFAH"
"19","Poon191","2PMFAH"
"20","wooshio_","2PMFAH"
"21","khunjagiya","2PMFAH"
"22","khuns_Nuna","2PMFAH"
"23","nkfebruaryfifth","2PMFAH"
"24","agness2310","2PMFAH"
"25","littlebytesnews","2tweetaboutit"
"26","KillSocialism","2tweetaboutit"
"27","littlebytesnews","2tweetaboutit"
"28","ZwarteKaat","2tweetaboutit"
"29","PappyDera","36Daily_Com"
"30","wolecypher","36Daily_Com"
"31","wolecypher","36Daily_Com"
"32","PappyDera","36Daily_Com"
"33","KingKongDizzle","36daily_com"
"34","NG_DailyNews","36daily_com"
"35","KingKongDizzle","36daily_com"
"36","NG_DailyNews","36daily_com"
"37","WoruleCool","36daily_com"
"38","mkanno24","38_degrees"
"39","lagringaeterna","38_degrees"
"40","ALSelley","38_degrees"
"41","apmcdonnell","38_degrees"
"42","venetiarainey","38_degrees"
"43","satoshidate","38_degrees"
"44","AineRoseCampbel","38_degrees"
"45","zizastan","38_degrees"
"46","jeffhamann","38_degrees"
"47","mundocitizen","38_degrees"
"48","franosch","69MiB"
"49","franosch","69MiB"
"50","7HenriettaSt","7HenriettaSt"
"51","olomi_F","937RhythmFm"
"52","N_FonCK","9GAG"
"53","CollectorX1","9GAG"
"54","alexapostolides","9GAG"
"55","DC_TheJoker","9GAG"
"56","OctaAbri","9GAG"
"57","FcukNobodySays","9GAG"
"58","LD4SOS","@BritishQuakers"
"59","Bridgeanne","@BritishQuakers"
"60","kaparu2","@BritishQuakers"
"61","leedsgarcia","@MarioDB"
"62","houndworthy","@inspiringshops"
"63","ABA_Immigration","ABANews"
"64","maywongchou","ABC"
"65","NicoletteGlazer","ABC"
"66","bernallaw","ABC"
"67","CO_Politico","ABC"
"68","NicoletteGlazer","ABC"
"69","rajmjamel","ABSCBNNews"
"70","SHAmoolah14","ADEIMAGE"
"71","davidscris","AFN1982"
"72","AIECAustraliaEU","AIECAustraliaEU"
"73","AIECAustraliaEU","AIECAustraliaEU"
"74","AIECAustraliaEU","AIECAustraliaEU"
"75","matteomiele","AIIndia"
"76","ricardonotes","AILANational"
"77","Scoobydoo007","AJAM"
"78","MigrantVoiceUK","AJAM"
"79","thejaoana","AJAM"
"80","danwibg","AJAM"
"81","VRosenboom","AJAM"
"82","JesseSelf720","AJAMStream"
"83","asktheduchess","AJAMStream"
"84","proactivconsult","AJELive"
"85","markwonderful","AJELive"
"86","therattattat","AJELive"
"87","FatherofBlair","AJELive"
"88","viveteunmorire","AJELive"
"89","crazykritic","AJEnglish"
"90","aliciasaldenha","AJEnglish"
"91","zsstevens","AJEnglish"
"92","Bordercrim","AJEnglish"
"93","Katrinespolicy","AJEnglish"
"94","MediterrNewsNet","AJEnglish"
"95","Morgan_Finnsio","AJEnglish"
"96","NadhifaiAdow","AJEnglish"
"97","femz_scolari","AJEnglish"
"98","FouadRamsis","AJEnglish"
"99","buner_khan","AJEnglish"
"100","LibertyTaxYYC","AJEnglish"
"101","hermannaubie","AJEnglish"
"102","HatemBazian","AJEnglish"
"103","TurnbullRuther","AJEnglish"
"104","781Moksha2011","AJEnglish"
"105","AnnetteMcEwan1","AJEnglish"
"106","robinwilson250","AJEnglish"
"107","legyptian","AJEnglish"
"108","soowede","AJEnglish"
"109","Villagecoal","AJEnglish"
"110","MEMagnello","AJEnglish"
"111","epkaufm","AJEnglish"
"112","migrationwatch","AJEnglish"
"113","SussexUni","AJEnglish"
"114","TedCantle","AJEnglish"
"115","berthold69de","AJEnglish"
"116","Wangari_Tharao","AJEnglish"
"117","rattlecans","AJEnglish"
"118","UptownBerber","AJEnglish"
"119","VisegradInsight","AJEnglish"
"120","iyazir","AJEnglish"
"121","BurmaBirma","AJEnglish"
"122","MsElleSandberg","AJEnglish"
"123","MigrantVoiceUK","AJEnglish"
"124","chembezikay","AJEnglish"
"125","JGreenwood01","AJEnglish"
"126","Madudaniel1","AJEnglish"
"127","duranaca","AJEnglish"
"128","femzscolari","AJEnglish"
"129","sabbah","AJEnglish"
"130","ZainahELHaroun","AJEnglish"
"131","agabus2","AJEnglish"
"132","julio_mayorga","AJEnglish"
"134","Ramisms","AJStream"
"135","NooreenPirbhai","AJStream"
"136","WajahatAli","AJStream"
"137","Gobbledegook42","AJStream"
"138","macaca69","AJStream"
"139","Gobbledegook42","AJStream"
"140","alvaroelima","AJStream"
"141","OpenCircuit","AJStream"
"142","UkImmigMagazine","AJStream"
"143","raisazaidi","AJStream"
"144","mmbilal","AJStream"
"145","kiddingthecity","AJStream"
"146","kkendd","AJStream"
"147","atta_tourism","AKTravel_UK"
"148","AKTravel_USA","AKTravel_UK"
"149","telecoua","ALU_TechZine"
"150","Canberra_Labor","ALeighMP"
"151","yanteuces","AMB_Sunday"
"152","MuseumsAtMQ","ANMMuseum"
"153","British_Studies","AP"
"154","slone","AP"
"155","CBSDenver","AP"
"156","resilient_one","AP"
"157","AYRLandscape","AP"
"158","LifeInTheUK2013","APPGMigration"
"159","OanaRomocea","APPGMigration"
"160","calvinhyj","APPGMigration"
"161","GlobalHE","APPGMigration"
"163","jontycampbell","ASI"
"165","salafyakh","AbdurRahmanOrg"
"166","7uuria","AbdurRahmanOrg"
"167","grissmerlaw","AccuracyInMedia"
"168","LINGsCARS","Action_2014"
"169","andreimuri","AdamBienkov"
"170","David_MacLean","AdamBienkov"
"171","saltcaycharlie","AddThis"
"172","tonysmevs","AddThis"
"173","maximumneto","AddThis"
"174","cushpig","AdrainOnSociety"
"175","IAm__TipsY","AfricaFactsZone"
"176","prof_univsocial","AirPano"
"177","ShahHossain","Ajstream"
"178","MohammadZaam","AlArabiya_Eng"
"179","AlanPranskyAtty","AlanPranskyAtty"
"180","bjsnider","AlbertoGalasso"
"181","eljbee","AlbertoNardelli"
"182","Mitkrieger","AlecJRoss"
"183","PositionDial","AledR"
"184","usworkvisas","AlexNowrasteh"
"185","BBC_WHYS","Alex_Jakana"
"186","FitrySakwan","AlkindiHakim"
"187","nolongerlib","AllenWest"
"188","SpecialService4","AllenWest"
"189","RichMeyer4","AllenWest"
"190","Dee_Hoer","AllenWest"
"192","ricardonotes","AmandaBeadle"
"193","breizh2008","AmazonUK"
"194","Justme_oghumu","AmazonUK"
"195","SueKich","AmazonUK"
"196","tamalyn1","AmazonUK"
"197","MoisBenarroch","AmazonUK"
"198","MoisBenarroch","AmazonUK"
"199","MoisBenarroch","AmazonUK"
"200","MoisBenarroch","AmazonUK"
"201","johnpoland","AmazonUK"
"202","MoisBenarroch","AmazonUK"
"203","MoisBenarroch","AmazonUK"
"204","MoisBenarroch","AmazonUK"
"205","MoisBenarroch","AmazonUK"
"206","MoisBenarroch","AmazonUK"
"207","MoisBenarroch","AmazonUK"
"208","marc83levy","AmazonUK"
"209","AFRICASeenHeard","AmazonUK"
"210","MoisBenarroch","AmazonUK"
"211","MoisBenarroch","AmazonUK"
"212","PERPETUAL_CASH","AmazonUK"
"213","PERPETUAL_CASH","AmazonUK"
"214","rjjoconnell","AmazonUK"
"215","MoisBenarroch","AmazonUK"
"216","MoisBenarroch","AmazonUK"
"217","Junying007","AmazonUK"
"218","MoisBenarroch","AmazonUK

@readTUESDAY"
"219","MrHappy4870","AmericanThinker"
"220","ophidianpilot","AmericanThinker"
"221","sam4wong","AmnestyScotland"
"222","psandeman","AmnestyUK"
"223","SCANDOY","AmnestyUK"
"224","MrHarryCole","AmulPPandya"
"225","mick27332","Amyloukingery"
"226","Dan4Liberty","Amyloukingery"
"227","AnnaZvag","AnaDoriaSarbu"
"228","star_pumpkin","Andrew_ComRes"
"229","Seyyid_Tito","AndyCavster"
"230","AQpk","AnjumKiani"
"231","lilithlela","AnonAlive"
"232","OpPinkPower","Anon_GovWatchCA"
"233","OpPinkPower","Anon_GovWatchCA"
"234","semprecontro","Anon_GovWatchCA"
"235","GRAFIXEL","AntonLaGuardia"
"236","ksfinley","ArchiveDigger"
"237","ariyanths","ArchiveDigger"
"238","VibeVal1","ArcticFox2016"
"239","Battsby","AresePollard"
"240","DiRealDeeki","Arquipimp"
"241","abhinavimmi","ArticlesBase"
"242","gerodriguezsl","Arturo_Sarukhan"
"243","anamacouzet","Arturo_Sarukhan"
"244","americasvoice","Arturo_Sarukhan"
"245","dr_shaps","Arturo_Sarukhan"
"246","nwolfl","Arturo_Sarukhan"
"247","CR_School","Arturo_Sarukhan"
"249","Charly216","AskEbuka"
"250","the_legal_hour","AstonBondLLP"
"251","turkyabanci","Ataqoz"
"252","LailaParmoon","AtheistRepublic"
"253","GlobalImmigrant","AtlanticCities"
"254","jeaniebgd","Atlasshrugs"
"255","AtwalPost","AtwalPost"
"256","senordelcorbett","Audioboo"
"258","commonpatriot","B4INFeatured"
"259","asielenmigratie","BAILII"
"260","7HenriettaSt","BBC"
"261","iRSSNews","BBC"
"262","iRSSNews","BBC"
"263","iRSSNews","BBC"
"264","BobbyGardiner","BBC"
"265","iRSSNews","BBC"
"266","iRSSNews","BBC"
"267","Tamasin_Ford","BBCAfrica"
"268","Ladipo_GH","BBCAfrica"
"269","markmccarthyoxf","BBCBreaking"
"270","Ozegezigizaga","BBCBreaking"
"271","sebboow","BBCBreaking"
"272","LarenKancashire","BBCBreaking"
"273","onebrowncow","BBCBreaking"
"274","GodfreyYouth","BBCBreaking"
"275","cvalente","BBCBreaking"
"276","ktmatrix","BBCBreaking"
"277","muslimfeminist","BBCBreaking"
"278","loushuff","BBCBreaking"
"279","Dukenfield","BBCBreaking"
"280","hairydel","BBCBreaking"
"281","itspabs","BBCBreaking"
"282","TigranSG","BBCBreaking"
"283","arconic","BBCBreaking"
"284","KrisYanSen","BBCBreaking"
"285","SarathRamakrish","BBCBreaking"
"286","MargoJMilne","BBCBreaking"
"287","OneStoryNews","BBCBreaking"
"288","jammajesty","BBCBreaking"
"289","hortorum","BBCBreaking"
"290","Artsmonkey1","BBCBreaking"
"291","KeoghsSolicitor","BBCBusiness"
"292","KeoghsSolicitor","BBCBusiness"
"293","BSW_Info","BBCBusiness"
"294","LauraDevineLaw","BBCDomC"
"295","kirsty36","BBCMarkEaston"
"296","greenpeacepress","BBCNature"
"297","YildirimNews","BBCNews"
"298","sam4wong","BBCNews"
"299","KevinMinott","BBCNews"
"300","the_solicitors","BBCNews"
"301","KevinMinott","BBCNews"
"302","YildirimNews","BBCNews"
"303","Mleigh89","BBCNews"
"304","YildirimNews","BBCNews"
"305","YildirimNews","BBCNews"
"306","YildirimNews","BBCNews"
"307","AbbeySolicitors","BBCNews"
"308","YildirimNews","BBCNews"
"309","YildirimNews","BBCNews"
"310","KevinMinott","BBCNews"
"311","YildirimNews","BBCNews"
"312","YildirimNews","BBCNews"
"313","KevinMinott","BBCNews"
"314","PooleConstruct","BBCNews"
"315","OanaRomocea","BBCNews"
"316","YildirimNews","BBCNews"
"317","nicoltetta","BBCNews"
"318","SwetangJoshi","BBCNews"
"319","homeojo","BBCNews"
"320","northernrob","BBCNews"
"321","YildirimNews","BBCNews"
"322","the_solicitors","BBCNews"
"323","LauraDevineLaw","BBCNews"
"324","HubertTemba","BBCNews"
"325","YildirimNews","BBCNews"
"326","YildirimNews","BBCNews"
"327","YildirimNews","BBCNews"
"328","GowerEcon","BBCNews"
"329","sam4wong","BBCNews"
"330","sam4wong","BBCNews"
"331","KhocolateRain","BBCNews"
"332","kasperpeters","BBCNews"
"333","LauraDevineLaw","BBCNews"
"334","YildirimNews","BBCNews"
"335","YildirimNews","BBCNews"
"336","YildirimNews","BBCNews"
"337","YorkshireTaff","BBCNews"
"338","un1c0rnstar","BBCNews"
"339","YildirimNews","BBCNews"
"340","DoinaAncaCretu","BBCNews"
"341","YildirimNews","BBCNews"
"342","YildirimNews","BBCNews"
"343","BarzhDu","BBCNews"
"344","JasonDMyles","BBCNews"
"345","MonicaMatei89","BBCNews"
"346","YildirimNews","BBCNews"
"347","SydesJokes","BBCNews"
"348","7HenriettaSt","BBCNews"
"349","JoannaLowy87","BBCNews"
"350","HLEThinkTank","BBCNews"
"351","YildirimNews","BBCNews"
"352","matisaksk","BBCNews"
"353","drchriscole","BBCNewsGraphics"
"354","EmmaAbuDhabi","BBCNewsGraphics"
"355","shounak_d","BBCNewsUKfeed"
"356","Alexbarnett77","BBCNormanS"
"357","BBCNews","BBCNormanS"
"358","121Visas","BBCPolitics"
"359","jakepitt_","BBCPolitics"
"360","121Visas","BBCPolitics"
"361","samwolfson","BBCR1"
"362","christinacopp","BBCRadioCA"
"363","TobiasParallel","BBCWorld"
"364","gemma_pinyol","BBCWorld"
"365","nashtysmans","BBCWorld"
"366","randomsubu","BBCWorld"
"367","BDNY79","BBCnews"
"368","BDNY79","BBCnews"
"369","BDNY79","BBCnews"
"370","BDNY79","BBCnews"
"371","Greekboy8","BBCr4today"
"372","jonesthescribe","BBCr4today"
"373","5lanky","BBCr4today"
"374","CAT2012News","BCATNamikoH"
"375","ClaranetSOHO","BCWUK"
"376","lucyknighton","BCWUK"
"377","DetentionWatch","BIDdetention"
"378","HyderabadK","BI_Careers"
"379","NewsmanSilva","BNPolitics"
"380","missdennisqueen","BOYADEE"
"381","susanpai","BPC_Bipartisan"
"383","AsylumWelcome","Backbencher"
"384","AG_ThorpeApps","Backbencher"
"385","boynat","BadboyBNP"
"386","Himalaya888","BalaachMarri"
"387","ShayTalarBaloch","BalaachMarri"
"388","BruceKAnderson","Balkaninsight"
"389","BruceKAnderson","Balkaninsight"
"390","BruceKAnderson","Balkaninsight"
"391","BruceKAnderson","Balkaninsight"
"392","FzDrew","BarackObama"
"393","samba87","BarackObama"
"394","the_ekeen","BarackObama"
"395","JillFavero","BarnsGreg"
"396","littlebytesnews","BarracudaMama"
"397","stop1984","BelTel"
"398","sam4wong","BelTel"
"399","sam4wong","BelTel"
"400","ConceptCareNews","BelTel"
"401","SocialDani","BenedictEvans"
"402","jbreisblatt","BenjySarlin"
"404","VibeVal","Bergg69"
"405","ItsBhags","BestoftheMail"
"406","a_Londoner","BetterOffOut"
"407","a_Londoner","BetterOffOut"
"408","Roselady64","BetterOffOut"
"410","stannyHA","BigBlackBarry"
"411","NewlandChase","BigHospitality"
"412","maverick_mac","BigIssueScots"
"413","sozfo","BildungsSpiegel"
"414","Lutontweets","BillyBeanpole84"
"415","Bims_Bimaa","Bims_Bimaa"
"416","putriieltsaqib","Bims_Bimaa"
"417","saunieindiego","BirdLife_News"
"418","MigConnectivity","BirdLife_News"
"419","inkednaturalist","BirdLife_News"
"420","TempeTeaParty","BizPacReview"
"421","PatVPeters","BizPacReview"
"422","ICANFLA","BizPacReview"
"423","heifer109","BizPacReview"
"424","ICANFLA","BizPacReview"
"425","ImmigNewsDigest","Bloomberg"
"426","Zen_Ono","BloombergNews"
"427","dazulzul","BloombergNews"
"428","LloydKilmerPhD","BloombergNews"
"429","UKVisaSolicitor","BloombergNow"
"430","smkumailakbar","BloombergView"
"431","SelbyMirror","BobbyIpsosMORI"
"432","kenanmalik","BobbyIpsosMORI"
"433","Samfr","BobbyIpsosMORI"
"434","TeaJunkie1","BoingBoing"
"435","FreshFredy","BonifaceGitz"
"436","JennetteArnold","Bonn1eGreer"
"437","GreatLawFirm","BookCrossing"
"438","ireadindie","BookishComforts"
"439","mlbasilien","Bordercrim"
"440","aditusNGO","Bordercrim"
"441","ricardonotes","BostonGlobe"
"442","CMSnewyork","BostonGlobe"
"443","migrationconf","BostonGlobe"
"444","Filsology","BostonGlobe"
"445","Bordercrim","BostonGlobe"
"446","mariasacchetti","BostonGlobe"
"447","lillitnaib","BostonGlobe"
"448","ManometCenter","BradfordWinn"
"449","sam4wong","Bradford_TandA"
"450","Go_Festival","BrankoMilan"
"451","OMF_UK","BrankoMilan"
"452","FlorianCiornei","BreakingEUNews"
"453","EbrahimMoosa","BreakingNews"
"454","TosinSongz","BreakingNewsUK"
"455","SteMotson","BreakingNewsUK"
"456","mefbama","BreitbartConvo"
"457","tnovak7","BreitbartN"
"458","only4menu","BreitbartNews"
"459","anna12061","BreitbartNews"
"460","lsferguson","BreitbartNews"
"461","AKFielding","BreitbartNews"
"462","mosaicgodess","BreitbartNews"
"463","juanitamoutlaw","BreitbartNews"
"464","CrumpledTees","BreitbartNews"
"465","lynn_lwrightpcd","BreitbartNews"
"466","lsferguson","BreitbartNews"
"467","JuanNewsome","BreitbartNews"
"468","sirjamesw","BreitbartNews"
"469","goatman42749","BreitbartNews"
"470","kaarent","BreitbartNews"
"471","ErikH1776","BreitbartNews"
"472","zappahawk","BreitbartNews"
"473","NBPC2554","BreitbartNews"
"474","Marks2Cents","BreitbartNews"
"475","cmegalodon69","BreitbartNews"
"476","nogirlemen","BreitbartNews"
"477","hoosierbarb","BreitbartNews"
"478","CrumpledTees","BreitbartNews"
"479","TehachapiHomes","BreitbartNews"
"480","PrefabSprout10","BreitbartNews"
"481","Texastweetybird","BreitbartNews"
"482","NYPolJunkie","BreitbartNews"
"483","anna12061","BreitbartNews"
"484","ErikH1776","BreitbartNews"
"485","CtgjrJr","BreitbartNews"
"486","will385","BreitbartNews"
"487","larryvaughn10","BreitbartNews"
"488","Gopisdead","BreitbartNews"
"489","exodus_2011","BreitbartNews"
"490","cuda1791","BreitbartNews"
"491","Gibbsdithers","BreitbartNews"
"492","TSRLA","BreitbartNews"
"493","MoberlyG","BreitbartNews"
"494","lynn_lwrightpcd","BreitbartNews"
"495","cavemanspam","BreitbartNews"
"496","Daddyfats61","BreitbartNews"
"497","1sfreedom","BreitbartNews"
"498","flatwalk","BreitbartNews"
"499","mchastain81","BreitbartNews"
"500","GWstand","BreitbartNews"
"501","lsferguson","BreitbartNews"
"502","heartneverliez","BreitbartNews"
"503","NYPolJunkie","BreitbartNews"
"504","Sky_Max","BreitbartNews"
"505","redarcher171","BreitbartNews"
"506","mstr0ud","BreitbartNews"
"507","ophidianpilot","BreitbartNews"
"508","billmcdp","BreitbartNews"
"509","sakellariou5","BreitbartNews"
"510","lewisleake","BreitbartNews"
"511","dumbcons","BreitbartNews"
"512","sporkette","BreitbartNews"
"513","NCBibleThumper","BreitbartNews"
"514","1Bunny4T","BreitbartNews"
"515","neonyorkie","BreitbartNews"
"516","Sky_Max","BreitbartNews"
"517","wburke20","BreitbartNews"
"518","DreamWeaver61","BreitbartNews"
"519","rdgarbo","BreitbartNews"
"520","Conservative25","BreitbartNews"
"521","Ms_Rachel","BreitbartNews"
"522","davidbright27","BreitbartNews"
"523","JennTaskMaster","BreitbartNews"
"524","EDinCali","BreitbartNews"
"525","SOcean5","BreitbartNews"
"526","LONGLIVETYCOBB","BreitbartNews"
"527","Mom2Ian03","BreitbartNews"
"528","LouDagNYC","BreitbartNews"
"529","jonburtonhx","BreitbartNews"
"530","yportbill","BreitbartNews"
"531","anna12061","BreitbartNews"
"532","CJ4FLORIDA","BreitbartNews"
"533","lizzieatfm","BreitbartNews"
"534","LauraMarklin","BreitbartNews"
"535","marinab62998008","BreitbartNews"
"536","morehouse64","BreitbartNews"
"537","CarolineKIY15","BreitbartNews"
"538","bgoum","BreitbartNews"
"539","PatrickHeren","BreitbartNews"
"540","ophidianpilot","BreitbartNews"
"541","jimEastridge1","BreitbartNews"
"542","will385","BreitbartNews"
"543","pshill2010","BreitbartNews"
"544","RaheemJKassam","BreitbartNews"
"545","Battsby","BreitbartNews"
"546","CalRWinn","BreitbartNews"
"547","BoDunfors","BreitbartNews"
"548","rayjohnmn","BreitbartNews"
"549","McGinniss1","BreitbartNews"
"550","KLucash","BreitbartNews"
"551","ForMotionCreatv","BreitbartNews"
"552","Illiberalality","BreitbartNews"
"553","Jantxnc","BreitbartNews"
"554","jostacy","BreitbartNews"
"555","WrayPressley","BreitbartNews"
"556","garyc3","BreitbartNews"
"557","BoDunfors","BreitbartNews"
"558","ForMotionCreatv","BreitbartNews"
"559","thmsm74","BreitbartNews"
"560","abacusnemo","BreitbartNews"
"561","dontfundit","BreitbartNews"
"562","Roland_Elworthy","BreitbartNews"
"563","charlesprast","BreitbartNews"
"564","CEOAmerican","BreitbartNews"
"565","RightWingSpring","BreitbartNews"
"566","psforsure","BreitbartNews"
"567","BestRDSP","BreitbartNews"
"568","jbmesser53","BreitbartNews"
"569","barrybye","BreitbartNews"
"570","MikeWelborn","BreitbartNews"
"571","Fred_Robbins","BreitbartNews"
"572","yportbill","BreitbartNews"
"573","ReallyIvy","BreitbartNews"
"574","will385","BreitbartNews"
"575","EdBaker3000","BreitbartNews"
"576","RightWingJunky","BreitbartNews"
"577","peakwriter","BreitbartNews"
"578","GlacierPatriot","BreitbartNews"
"579","psforsure","BreitbartNews"
"580","morehouse64","BreitbartNews"
"581","LuanaMacLac","BreitbartNews"
"582","exodus_2011","BreitbartNews"
"583","jbmesser53","BreitbartNews"
"584","ThePalinPatriot","BreitbartNews"
"585","marinab62998008","BreitbartNews"
"586","yugijo","BreitbartNews"
"587","BAMAPERRY","BreitbartNews"
"588","crystal_night20","BreitbartNews"
"589","momoishere","BreitbartNews"
"590","RaheemJKassam","BreitbartNews"
"591","RaheemJKassam","BreitbartNews"
"592","TehachapiHomes","BreitbartNews"
"593","bettymowery","BreitbartNews"
"594","MdlMurray","BreitbartNews"
"595","jbmesser53","BreitbartNews"
"596","BBigBunny","BreitbartNews"
"597","jake9860","BreitbartNews"
"598","ForMotionCreatv","BreitbartNews"
"599","peddoc63","BreitbartNews"
"600","RedHotSquirrel","BreitbartNews"
"601","RaheemJKassam","BreitbartNews"
"602","darlingdelilah","BreitbartNews"
"603","jbmesser53","BreitbartNews"
"604","eagles1feather","BreitbartNews"
"605","HonkusMcGhee","BreitbartNews"
"606","LILLYZ720","BreitbartNews"
"607","jbmesser53","BreitbartNews"
"608","ginthegin","BreitbartNews"
"609","jeanee5TAM","BreitbartNews"
"610","Chris_1791","BreitbartNews"
"611","wburke20","BreitbartNews"
"612","BBigBunny","BreitbartNews"
"613","dhrxsol1234","BreitbartNews"
"614","sundoghigh","BreitbartNews"
"615","ForMotionCreatv","BreitbartNews"
"616","Texification","BreitbartNews"
"617","5hatsforthisone","BreitbartNews"
"618","Babasfarmlife","BreitbartNews"
"619","TYorrick","BreitbartNews"
"620","XHEMILA2011","BreitbartNews"
"621","BethMar08498031","BreitbartNews"
"622","lsferguson","BreitbartNews"
"623","jbmesser53","BreitbartNews"
"624","WrayPressley","BreitbartNews"
"625","jbmesser53","BreitbartNews"
"626","RaheemJKassam","BreitbartNews"
"627","JennTaskMaster","BreitbartNews"
"628","7katzeyez7","BreitbartNews"
"629","messiah2kshow","BreitbartNews"
"630","ublocks","BreitbartNews"
"631","RaheemJKassam","BreitbartNews"
"632","BYBLOWJ","BreitbartNews"
"633","theresa_collier","BreitbartNews"
"634","pray_for_life","BreitbartNews"
"635","LyndaJoHunt","BreitbartNews"
"636","ForMotionCreatv","BreitbartNews"
"637","garyc3","BreitbartNews"
"638","ConservativeCCh","BreitbartNews"
"639","thmsm74","BreitbartNews"
"640","BBigBunny","BreitbartNews"
"641","LeicsFox","BreitbartNews"
"642","mrmannyscorner","BreitbartNews"
"643","RaheemJKassam","BreitbartNews"
"644","Gibbsdithers","BreitbartNews"
"645","ForMotionCreatv","BreitbartNews"
"646","DoubtingTory","BreitbartNews"
"647","speckman16","BreitbartNews"
"648","corardendo","BreitbartNews"
"649","CarolsakelCosta","BreitbartNews"
"650","anna12061","BreitbartNews"
"651","wburke20","BreitbartNews"
"652","SandFostcat","BreitbartNews"
"653","wburke20","BreitbartNews"
"654","PeterTufan","BreitbartNews"
"655","Okie_Dokie63","BreitbartNews"
"656","TracyAChambers","BreitbartNews"
"657","StarCoreOne02","BreitbartNews"
"658","JennTaskMaster","BreitbartNews"
"659","Sky_Max","BreitbartNews"
"660","thmsm74","BreitbartNews"
"661","richardcalhoun","BreitbartNews"
"662","CataNigra","BreitbartNews"
"663","StephenieWight","BreitbartNews"
"664","middlemom","BreitbartNews"
"665","jbmesser53","BreitbartNews"
"666","Texastweetybird","BreitbartNews"
"667","strickster01","BreitbartNews"
"668","pray_for_life","BreitbartNews"
"669","Aldo_Raines","BreitbartNews"
"670","Mom2Ian03","BreitbartNews"
"671","cuda1791","BreitbartNews"
"672","Nexus7900","BreitbartNews"
"673","RaheemJKassam","BreitbartNews"
"674","EdBaker3000","BreitbartNews"
"675","TalOfer","BreitbartNews"
"676","mundyspeaks","BreitbartNews"
"677","FAIRImmigration","BreitbartNews"
"678","RaheemJKassam","BreitbartNews"
"679","BBigBunny","BreitbartNews"
"680","sodagrrl","BreitbartNews"
"681","surfcitysocal","BreitbartNews"
"682","HonkusMcGhee","BreitbartNews"
"683","ConservativeCCh","BreitbartNews"
"686","MusicayJusticia","Bridge_Project1"
"687","ricardonotes","Bridge_Project1"
"688","chris8tine","BritCits"
"689","ColinYeo1","BritCits"
"690","HearnDylan","BritInfluence"
"691","buchtan","BritInfluence"
"692","ha6dll","BritInfluence"
"693","Joao_Bx","BritInfluence"
"694","LibDemInternat","BritInfluence"
"695","BRYCSinfo","BritInfluence"
"696","mpEsri","BritainLovesBiz"
"697","amirriz1","BrookesTimes"
"699","TheRealPetrossa","BrunoBrussels"
"700","GinaLuciana","BryanJFischer"
"701","Stevegoold525","BuzzFeed"
"702","Stevegoold525","BuzzFeed"
"703","Stevegoold525","BuzzFeed"
"704","Stevegoold525","BuzzFeed"
"705","Stevegoold525","BuzzFeed"
"706","Stevegoold525","BuzzFeed"
"707","Stevegoold525","BuzzFeed"
"708","Stevegoold525","BuzzFeed"
"709","Stevegoold525","BuzzFeed"
"710","Stevegoold525","BuzzFeed"
"711","Stevegoold525","BuzzFeed"
"712","Stevegoold525","BuzzFeed"
"713","Stevegoold525","BuzzFeed"
"714","Stevegoold525","BuzzFeed"
"715","Stevegoold525","BuzzFeed"
"716","Stevegoold525","BuzzFeed"
"717","Stevegoold525","BuzzFeed"
"718","Stevegoold525","BuzzFeed"
"719","Stevegoold525","BuzzFeed"
"720","Stevegoold525","BuzzFeed"
"721","Stevegoold525","BuzzFeed"
"722","Stevegoold525","BuzzFeed"
"723","Stevegoold525","BuzzFeed"
"724","Stevegoold525","BuzzFeed"
"725","Stevegoold525","BuzzFeed"
"726","Stevegoold525","BuzzFeed"
"727","Stevegoold525","BuzzFeed"
"728","Stevegoold525","BuzzFeed"
"729","Stevegoold525","BuzzFeed"
"730","Stevegoold525","BuzzFeed"
"731","Stevegoold525","BuzzFeed"
"732","Stevegoold525","BuzzFeed"
"733","Stevegoold525","BuzzFeed"
"734","Stevegoold525","BuzzFeed"
"735","Stevegoold525","BuzzFeed"
"736","Stevegoold525","BuzzFeed"
"737","Stevegoold525","BuzzFeed"
"738","Stevegoold525","BuzzFeed"
"739","Stevegoold525","BuzzFeed"
"740","KatAlexPas","BuzzFeed"
"741","MEMagnello","BuzzFeed"
"742","revkes","BuzzFeed"
"743","JoRust45","BuzzFeed"
"744","edxavez","BuzzFeed"
"745","NumbersUSA","ByBrianBennett"
"746","grannyfloss","CANdoAustralia"
"747","Michaelfabian74","CBSNews"
"748","HeritageStudent","CICIC_CICDI"
"749","ws_law","CIHhousing"
"750","KenexaEMEA","CIPD"
"751","ricardonotes","CMSnewyork"
"752","ricardonotes","CMSnewyork"
"753","iRSSNews","CNN"
